"pathway_id","node1_kegg_id","node1_symbol","node1_type","node1_entry_id","node2_kegg_id","node2_symbol","node2_type","node2_entry_id","relation_type","subtype_1_name","subtype_1_value","subtype_2_name","subtype_2_value","subtype_3_name","subtype_3_value","ExperimentScore","CoexpressionScore"
"hsa04724","cpd:C00025","C00025","compound",160,"hsa:2915","GRM5, GPRC1E, MGLUR5, PPP1R86, mGlu5","gene",44,"PCrel","activation","-->","","","","",0,0
"hsa04724","cpd:C00025","C00025","compound",160,"hsa:2913","GRM3, GLUR3, GPRC1C, MGLUR3, mGlu3","gene",193,"PCrel","activation","-->","","","","",0,0
"hsa04724","cpd:C00025","C00025","compound",160,"hsa:2914 hsa:2918","GRM4, GPRC1D, MGLUR4, mGlu4...","gene",174,"PCrel","activation","-->","","","","",0,0
"hsa04724","cpd:C00025","C00025","compound",160,"hsa:2912 hsa:2913","GRM2, GLUR2, GPRC1B, MGLUR2, mGlu2...","gene",45,"PCrel","activation","-->","","","","",0,0
"hsa04724","cpd:C00025","C00025","compound",160,"hsa:2897 hsa:2898 hsa:2899 hsa:2900 hsa:2901","GRIK1, EAA3, EEA3, GLR5, GLUR5, GluK1, gluR-5...","gene",29,"PCrel","activation","-->","","","","",0,0
"hsa04724","cpd:C00025","C00025","compound",160,"hsa:2890 hsa:2891 hsa:2892 hsa:2893","GRIA1, GLUH1, GLUR1, GLURA, GluA1, HBGR1, MRD67, MRT76...","gene",30,"PCrel","activation","-->","","","","",0,0
"hsa04724","cpd:C00025","C00025","compound",160,"hsa:116443 hsa:116444 hsa:2902 hsa:2903 hsa:2904 hsa:2905 hsa:2906","GRIN3A, GluN3A, NMDAR-L, NMDAR3A, NR3A...","gene",31,"PCrel","activation","-->","","","","",0,0
"hsa04724","cpd:C00025","C00025","compound",160,"hsa:2911 hsa:2915","GRM1, GPRC1A, MGLU1, MGLUR1, PPP1R85, SCA44, SCAR13...","gene",32,"PCrel","activation","-->","","","","",0,0
"hsa04724","cpd:C00025","C00025","compound",160,"hsa:2912 hsa:2913","GRM2, GLUR2, GPRC1B, MGLUR2, mGlu2...","gene",33,"PCrel","activation","-->","","","","",0,0
"hsa04724","cpd:C00025","C00025","compound",160,"hsa:2914 hsa:2916","GRM4, GPRC1D, MGLUR4, mGlu4...","gene",34,"PCrel","activation","-->","","","","",0,0
"hsa04724","cpd:C00025","C00025","compound",160,"hsa:2917 hsa:2918","GRM7, GLUR7, GPRC1G, MGLU7, MGLUR7, NEDSHBA, PPP1R87...","gene",28,"PCrel","activation","-->","","","","",0,0
"hsa04724","hsa:2912 hsa:2913","GRM2, GLUR2, GPRC1B, MGLUR2, mGlu2...","gene",45,"hsa:10681 hsa:2770 hsa:2771 hsa:2773 hsa:2775 hsa:2782 hsa:2783 hsa:2784 hsa:2785 hsa:2786 hsa:2787 hsa:2788 hsa:2790 hsa:2791 hsa:2792 hsa:2793 hsa:51764 hsa:54331 hsa:55970 hsa:59345 hsa:94235","GNB5, GB5, HG2E, IDDCA, LADCI, LDMLS1, LDMLS2, gbeta5...","gene",90,"PCrel","activation","-->","","","","",0,0
"hsa04724","hsa:2914 hsa:2918","GRM4, GPRC1D, MGLUR4, mGlu4...","gene",174,"hsa:10681 hsa:2770 hsa:2771 hsa:2773 hsa:2775 hsa:2782 hsa:2783 hsa:2784 hsa:2785 hsa:2786 hsa:2787 hsa:2788 hsa:2790 hsa:2791 hsa:2792 hsa:2793 hsa:51764 hsa:54331 hsa:55970 hsa:59345 hsa:94235","GNB5, GB5, HG2E, IDDCA, LADCI, LDMLS1, LDMLS2, gbeta5...","gene",90,"PCrel","activation","-->","","","","",0,0
"hsa04724","hsa:2917","GRM7, GLUR7, GPRC1G, MGLU7, MGLUR7, NEDSHBA, PPP1R87","gene",172,"hsa:10681 hsa:2770 hsa:2771 hsa:2773 hsa:2775 hsa:2782 hsa:2783 hsa:2784 hsa:2785 hsa:2786 hsa:2787 hsa:2788 hsa:2790 hsa:2791 hsa:2792 hsa:2793 hsa:51764 hsa:54331 hsa:55970 hsa:59345 hsa:94235","GNB5, GB5, HG2E, IDDCA, LADCI, LDMLS1, LDMLS2, gbeta5...","gene",90,"PCrel","activation","-->","","","","",0,0
"hsa04724","hsa:10681 hsa:2770 hsa:2771 hsa:2773 hsa:2775 hsa:2782 hsa:2783 hsa:2784 hsa:2785 hsa:2786 hsa:2787 hsa:2788 hsa:2790 hsa:2791 hsa:2792 hsa:2793 hsa:51764 hsa:54331 hsa:55970 hsa:59345 hsa:94235","GNB5, GB5, HG2E, IDDCA, LADCI, LDMLS1, LDMLS2, gbeta5...","gene",90,"hsa:3760","KCNJ3, GIRK1, KGA, KIR3.1","gene",171,"PCrel","activation","-->","","","","",0,0
